title,author,first_publish_year,rating,author_encoded
The Art of War,孙武,1900,3.95,1
The Call of the Wild,Jack London,1903,3.91,22
The Hound of the Baskervilles,Arthur Conan Doyle,1900,4.0,24
The Great Gatsby,F. Scott Fitzgerald,1920,3.93,9
The Mysterious Affair at Styles,Agatha Christie,1920,4.0,85
Die Verwandlung,Franz Kafka,1915,5.0,4
Five Children and It,Edith Nesbit,1905,5.0,11
Kim,Rudyard Kipling,1901,4.0,21
The Secret Garden,Frances Hodgson Burnett,1911,4.16,8
Anne of Avonlea,Lucy Maud Montgomery,1909,5.0,12
Anne's House of Dreams,Lucy Maud Montgomery,1917,4.0,12
The Valley of Fear,Arthur Conan Doyle,1914,5.0,24
The Marvelous Land of Oz,L. Frank Baum,1904,4.0,18
The Thirty-Nine Steps,John Buchan,1915,4.0,15
The House of Mirth,Edith Wharton,1905,5.0,9
Dubliners,James Joyce,1914,3.84,6
Rainbow Valley,Lucy Maud Montgomery,1919,4.0,12
As a man thinketh,James Allen,1902,5.0,2
The Jewel of Seven Stars,Bram Stoker,1902,4.0,2
Dorothy and the Wizard in Oz,L. Frank Baum,1908,4.0,18
The Scarlet Pimpernel,"Emmuska Orczy, Baroness Orczy",1900,4.07,7
The Lost Princess of Oz,L. Frank Baum,1917,5.0,18
Ulysses,James Joyce,1920,3.77,6
The Story of the Amulet,Edith Nesbit,1905,5.0,11
The Complete Life and Adventures of Santa Claus,L. Frank Baum,1902,5.0,18
The Return of Sherlock Holmes,Arthur Conan Doyle,1903,4.0,24
To the Lighthouse,Virginia Woolf,1927,3.8,11
Baum's American Fairy Tales,L. Frank Baum,1901,5.0,18
The Man Who Was Thursday,Gilbert Keith Chesterton,1908,4.0,15
Mrs. Dalloway,Virginia Woolf,1925,3.79,11
The Beautiful and Damned,F. Scott Fitzgerald,1922,4.0,9
The Tin Woodman of Oz,L. Frank Baum,1918,4.0,18
The Hobbit,J.R.R. Tolkien,1937,5.0,14
Glinda of Oz,L. Frank Baum,1920,4.0,18
Emily of New Moon,Lucy Maud Montgomery,1923,4.0,12
A la recherche du temps perdu,Marcel Proust,1914,5.0,1
Nineteen Eighty-Four,George Orwell,1949,4.0,10
Peter Pan,J. M. Barrie,1911,4.04,6
The Souls of Black Folk,W. E. B. Du Bois,1903,4.0,2
Animal Farm,George Orwell,1945,4.0,10
Of Human Bondage,William Somerset Maugham,1915,4.15,13
The Innocence of Father Brown (Father Brown Mystery),Gilbert Keith Chesterton,1911,5.0,15
Love Insurance,Earl Derr Biggers,1914,4.0,2
The moon and sixpence,William Somerset Maugham,1919,5.0,13
Chronicles of Avonlea,Lucy Maud Montgomery,1912,5.0,12
White Fang,Jack London,1905,4.03,22
The Prophet,Kahlil Gibran,1900,4.23,1
The Rainbow,David Herbert Lawrence,1915,5.0,12
The Jungle,Upton Sinclair,1905,3.77,6
The Magic World,Edith Nesbit,1959,5.0,11
Der Proceß,Franz Kafka,1925,4.0,4
The Poison Belt,Arthur Conan Doyle,1913,5.0,24
Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,5.0,14
L’étranger,Albert Camus,1942,5.0,6
Sons and Lovers,David Herbert Lawrence,1913,4.0,12
Prester John,John Buchan,1910,5.0,15
Burning Daylight,Jack London,1910,4.0,22
Puck of Pook's Hill,Rudyard Kipling,1900,5.0,21
Whose Body?,Dorothy L. Sayers,1923,5.0,13
Orlando,Virginia Woolf,1928,3.87,11
Jacob's Room,Virginia Woolf,1922,4.0,11
A Little Princess,Frances Hodgson Burnett,1905,4.23,8
A Room of One's Own,Virginia Woolf,1929,5.0,11
Daddy-Long-Legs,Jean Webster,1912,4.0,3
The Fellowship of the Ring,J.R.R. Tolkien,1954,4.0,14
The blue castle,Lucy Maud Montgomery,1926,5.0,12
The Evil Shepherd,Edward Phillips Oppenheim,1922,5.0,3
The Enchanted Island of Yew,L. Frank Baum,1903,4.0,18
The Case-Book of Sherlock Holmes,Arthur Conan Doyle,1927,5.0,24
The Age of Innocence,Edith Wharton,1920,3.97,9
The Sea-Wolf,Jack London,1900,5.0,22
The Wisdom of Father Brown,Gilbert Keith Chesterton,1913,5.0,15
Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,5.0,14
The Return of the King,J.R.R. Tolkien,1950,4.0,14
The Grapes of Wrath,John Steinbeck,1939,4.02,18
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,5.0,14
Mrs Dalloway,Virginia Woolf,1990,4.0,11
Death Comes for the Archbishop,Willa Cather,1926,5.0,9
The Secret Agent,Joseph Conrad,1907,4.0,21
The Waves,Virginia Woolf,1931,5.0,11
Fahrenheit 451,Ray Bradbury,1953,3.97,9
Fahrenheit 451,Ray Bradbury,1953,3.97,9
The Lord of the Rings,J.R.R. Tolkien,1954,4.54,14
Just So Stories,Rudyard Kipling,1922,4.0,21
Gone With the Wind,Margaret Mitchell,1905,5.0,1
The Curious Case of Benjamin Button,F. Scott Fitzgerald,2007,4.0,9
La Peste,Albert Camus,1942,5.0,6
Babbitt,Sinclair Lewis,1922,4.0,7
Мастер и Маргарита,Михаил Афанасьевич Булгаков,1966,5.0,3
Tarzan of the Apes,Edgar Rice Burroughs,1912,4.0,30
Im Westen nichts Neues,Erich Maria Remarque,1928,4.0,11
The Old Man and the Sea,Ernest Hemingway,1952,3.81,13
Harry Potter and the Goblet of Fire,J. K. Rowling,1993,5.0,14
Murder on the Orient Express,Agatha Christie,1933,5.0,85
Gitanjali (song offerings),Rabindranath Tagore,1910,5.0,2
A Thief in the Night,E. W. Hornung,1905,5.0,2
Charlie and the Chocolate Factory,Roald Dahl,1964,5.0,22
The warlord of Mars #3,Edgar Rice Burroughs,1919,5.0,30
The League of the Scarlet Pimpernel,"Emmuska Orczy, Baroness Orczy",1919,5.0,7
The Enchanted April,Elizabeth von Arnim,1922,4.0,7
The Old Man in the Corner,"Emmuska Orczy, Baroness Orczy",1908,4.0,7
Чайка,Антон Павлович Чехов,1915,4.0,13
Мы,Евгений Иванович Замятин,1924,5.0,1
My Ántonia,Willa Cather,1918,3.84,9
"Thuvia, Maid of Mars",Edgar Rice Burroughs,1916,4.0,30
The Napoleon of Notting Hill,Gilbert Keith Chesterton,1904,5.0,15
The Princess and the Goblin,George MacDonald,1907,4.0,9
Siddhartha,Hermann Hesse,1922,4.08,11
The Murder of Roger Ackroyd,Agatha Christie,1926,5.0,85
Poirot investigates,Agatha Christie,1924,5.0,85
Cien años de soledad,Gabriel García Márquez,1967,5.0,13
The land of mist,Arthur Conan Doyle,1926,5.0,24
The Angel of Terror,Edgar Wallace,1923,4.0,5
The Bat,Mary Roberts Rinehart,1926,4.0,7
Witch Wood,John Buchan,1927,5.0,15
Harry Potter and the Order of the Phoenix,J. K. Rowling,2003,5.0,14
Of Mice and Men,John Steinbeck,1937,3.89,18
Der Zauberberg,Thomas Mann,1924,4.0,9
The three hostages,John Buchan,1924,5.0,15
To Kill a Mockingbird,Harper Lee,1960,4.26,3
