id,title,author,first_publish_year,rating,author_encoded,cluster
0,The Art of War,孙武,1900,3.95,1,0
1,The Call of the Wild,Jack London,1903,3.91,22,0
2,The Hound of the Baskervilles,Arthur Conan Doyle,1900,4.0,24,0
3,The Great Gatsby,F. Scott Fitzgerald,1920,3.93,9,0
4,The Mysterious Affair at Styles,Agatha Christie,1920,4.0,85,2
5,Die Verwandlung,Franz Kafka,1915,5.0,4,3
6,Five Children and It,Edith Nesbit,1905,5.0,11,3
7,Kim,Rudyard Kipling,1901,4.0,21,0
8,The Secret Garden,Frances Hodgson Burnett,1911,4.16,8,0
9,Anne of Avonlea,Lucy Maud Montgomery,1909,5.0,12,3
10,Anne's House of Dreams,Lucy Maud Montgomery,1917,4.0,12,0
11,The Valley of Fear,Arthur Conan Doyle,1914,5.0,24,3
12,The Marvelous Land of Oz,L. Frank Baum,1904,4.0,18,0
13,The Thirty-Nine Steps,John Buchan,1915,4.0,15,0
14,The House of Mirth,Edith Wharton,1905,5.0,9,3
15,Dubliners,James Joyce,1914,3.84,6,0
16,Rainbow Valley,Lucy Maud Montgomery,1919,4.0,12,0
17,As a man thinketh,James Allen,1902,5.0,2,3
18,The Jewel of Seven Stars,Bram Stoker,1902,4.0,2,0
19,Dorothy and the Wizard in Oz,L. Frank Baum,1908,4.0,18,0
20,The Scarlet Pimpernel,"Emmuska Orczy, Baroness Orczy",1900,4.07,7,0
21,The Lost Princess of Oz,L. Frank Baum,1917,5.0,18,3
22,Ulysses,James Joyce,1920,3.77,6,0
23,The Story of the Amulet,Edith Nesbit,1905,5.0,11,3
24,The Complete Life and Adventures of Santa Claus,L. Frank Baum,1902,5.0,18,3
25,The Return of Sherlock Holmes,Arthur Conan Doyle,1903,4.0,24,0
26,To the Lighthouse,Virginia Woolf,1927,3.8,11,0
27,Baum's American Fairy Tales,L. Frank Baum,1901,5.0,18,3
28,The Man Who Was Thursday,Gilbert Keith Chesterton,1908,4.0,15,0
29,Mrs. Dalloway,Virginia Woolf,1925,3.79,11,0
30,The Beautiful and Damned,F. Scott Fitzgerald,1922,4.0,9,0
31,The Tin Woodman of Oz,L. Frank Baum,1918,4.0,18,0
32,The Hobbit,J.R.R. Tolkien,1937,5.0,14,3
33,Glinda of Oz,L. Frank Baum,1920,4.0,18,0
34,Emily of New Moon,Lucy Maud Montgomery,1923,4.0,12,0
35,A la recherche du temps perdu,Marcel Proust,1914,5.0,1,3
