title,url,author,rating,rating_count,id
The Hunger Games (The Hunger Games #1),https://www.goodreads.com/book/show/2767052-the-hunger-games,Suzanne Collins,4.34,9316464,2767052
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,J.K. Rowling,4.5,3616115,2
Pride and Prejudice,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,Jane Austen,4.29,4516959,1885
To Kill a Mockingbird,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,Harper Lee,4.26,6562994,2657
The Book Thief,https://www.goodreads.com/book/show/19063.The_Book_Thief,Markus Zusak,4.39,2745773,19063
"Twilight (The Twilight Saga, #1)",https://www.goodreads.com/book/show/41865.Twilight,Stephenie Meyer,3.66,7000366,41865
Animal Farm,https://www.goodreads.com/book/show/170448.Animal_Farm,George Orwell,4.0,4226678,170448
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien,4.61,139657,30
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,C.S. Lewis,4.28,685578,11127
The Fault in Our Stars,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,John Green,4.13,5479804,11870085
The Picture of Dorian Gray,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,Oscar Wilde,4.13,1719244,5297
The Giving Tree,https://www.goodreads.com/book/show/370493.The_Giving_Tree,Shel Silverstein,4.38,1190235,370493
Wuthering Heights,https://www.goodreads.com/book/show/6185.Wuthering_Heights,Emily Brontë,3.9,1921537,6185
Gone with the Wind,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,Margaret Mitchell,4.31,1247781,18405
"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://www.goodreads.com/book/show/28187.The_Lightning_Thief,Rick Riordan,4.31,3263708,28187
The Perks of Being a Wallflower,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,Stephen Chbosky,4.23,1909988,22628
The Little Prince,https://www.goodreads.com/book/show/157993.The_Little_Prince,Antoine de Saint-Exupéry,4.33,2301945,157993
Jane Eyre,https://www.goodreads.com/book/show/10210.Jane_Eyre,Charlotte Brontë,4.15,2218971,10210
The Great Gatsby,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,F. Scott Fitzgerald,3.93,5601369,4671
Crime and Punishment,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,Fyodor Dostoevsky,4.28,991501,7144
"The da Vinci Code (Robert Langdon, #2)",https://www.goodreads.com/book/show/968.The_da_Vinci_Code,Dan    Brown,3.93,2445034,968
Alice’s Adventures in Wonderland / Through the Looking-Glass,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,Lewis Carroll,4.07,588831,24213
"Divergent (Divergent, #1)",https://www.goodreads.com/book/show/13335037-divergent,Veronica Roth,4.14,4215366,13335037
Memoirs of a Geisha,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,Arthur Golden,4.16,2062352,929
Les Misérables,https://www.goodreads.com/book/show/24280.Les_Mis_rables,Victor Hugo,4.21,824400,24280
The Alchemist,https://www.goodreads.com/book/show/865.The_Alchemist,Paulo Coelho,3.92,3336443,865
"Anne of Green Gables (Anne of Green Gables, #1)",https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,L.M. Montgomery,4.32,1053946,8127
Lord of the Flies,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,William Golding,3.7,3064767,7624
Romeo and Juliet,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,William Shakespeare,3.74,2725499,18135
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,Douglas Adams,4.23,1937882,11
"City of Bones (The Mortal Instruments, #1)",https://www.goodreads.com/book/show/256683.City_of_Bones,Cassandra Clare,4.07,2098581,256683
The Help,https://www.goodreads.com/book/show/4667024-the-help,Kathryn Stockett,4.46,2919062,4667024
Dracula,https://www.goodreads.com/book/show/17245.Dracula,Bram Stoker,4.02,1381746,17245
Charlotte’s Web,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,E.B. White,4.2,1956565,24178
"Ender’s Game (Ender's Saga, #1)",https://www.goodreads.com/book/show/375802.Ender_s_Game,Orson Scott Card,4.31,1431449,375802
Fahrenheit 451,https://www.goodreads.com/book/show/13079982-fahrenheit-451,Ray Bradbury,3.97,2634886,13079982
Of Mice and Men,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,John Steinbeck,3.89,2700060,890
Brave New World,https://www.goodreads.com/book/show/5129.Brave_New_World,Aldous Huxley,3.99,1971201,5129
The Catcher in the Rye,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,J.D. Salinger,3.8,3733440,5107
One Hundred Years of Solitude,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude,Gabriel García Márquez,4.12,1043819,320
A Thousand Splendid Suns,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,Khaled Hosseini,4.45,1641206,128029
1984,https://www.goodreads.com/book/show/40961427-1984,George Orwell,4.2,5062179,40961427
"Little Women (Little Women, #1)",https://www.goodreads.com/book/show/1934.Little_Women,Louisa May Alcott,4.16,2349440,1934
The Outsiders,https://www.goodreads.com/book/show/231804.The_Outsiders,S.E. Hinton,4.14,1487052,231804
The Princess Bride,https://www.goodreads.com/book/show/21787.The_Princess_Bride,William Goldman,4.27,925331,21787
The Secret Garden,https://www.goodreads.com/book/show/2998.The_Secret_Garden,Frances Hodgson Burnett,4.16,1238762,2998
The Time Traveler's Wife,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,Audrey Niffenegger,4.0,1830754,18619684
"A Game of Thrones (A Song of Ice and Fire, #1)",https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,George R.R. Martin,4.45,2630946,13496
"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone,J.K. Rowling,4.47,10829690,42844155
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,J.K. Rowling,4.62,3939274,136251
"A Wrinkle in Time (Time Quintet, #1)",https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,Madeleine L'Engle,3.98,1246245,33574273
The Odyssey,https://www.goodreads.com/book/show/1381.The_Odyssey,Homer,3.82,1136676,1381
Frankenstein: The 1818 Text,https://www.goodreads.com/book/show/35031085-frankenstein,Mary Wollstonecraft Shelley,3.88,1728499,35031085
The Kite Runner,https://www.goodreads.com/book/show/77203.The_Kite_Runner,Khaled Hosseini,4.35,3335712,77203
"The Giver (The Giver, #1)",https://www.goodreads.com/book/show/3636.The_Giver,Lois Lowry,4.12,2674088,3636
"The Handmaid’s Tale (The Handmaid's Tale, #1)",https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,Margaret Atwood,4.15,2235594,38447
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,J.K. Rowling,4.58,4562049,5
Where the Wild Things Are,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,Maurice Sendak,4.25,1034227,19543
The Lovely Bones,https://www.goodreads.com/book/show/12232938-the-lovely-bones,Alice Sebold,3.86,2421471,12232938
Green Eggs and Ham,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,Dr. Seuss,4.31,816921,23772
The Adventures of Huckleberry Finn,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,Mark Twain,3.83,1303731,2956
"Dune (Dune, #1)",https://www.goodreads.com/book/show/44767458-dune,Frank Herbert,4.28,1527106,44767458
Life of Pi,https://www.goodreads.com/book/show/4214.Life_of_Pi,Yann Martel,3.94,1700385,4214
A Tale of Two Cities,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,Charles Dickens,3.87,986005,1953
Lolita,https://www.goodreads.com/book/show/7604.Lolita,Vladimir Nabokov,3.87,899454,7604
Slaughterhouse-Five,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,Kurt Vonnegut Jr.,4.1,1427697,4981
Water for Elephants,https://www.goodreads.com/book/show/43641.Water_for_Elephants,Sara Gruen,4.11,1666187,43641
The Bell Jar,https://www.goodreads.com/book/show/6514.The_Bell_Jar,Sylvia Plath,4.06,1100025,6514
Matilda,https://www.goodreads.com/book/show/39988.Matilda,Roald Dahl,4.33,1037888,39988
The Stand,https://www.goodreads.com/book/show/149267.The_Stand,Stephen        King,4.35,800818,149267
Catch-22,https://www.goodreads.com/book/show/168668.Catch_22,Joseph Heller,3.99,861545,168668
The Girl With the Dragon Tattoo (Millennium #1),https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo,Stieg Larsson,4.17,3332351,2429135
