title,url,id,author
"Frankenstein; Or, The Modern Prometheus",https://www.gutenberg.org/ebooks/84,84,Mary Wollstonecraft Shelley
"Moby Dick; Or, The Whale",https://www.gutenberg.org/ebooks/2701,2701,Herman Melville
Romeo and Juliet,https://www.gutenberg.org/ebooks/1513,1513,William Shakespeare
Pride and Prejudice,https://www.gutenberg.org/ebooks/1342,1342,Jane Austen
Alice's Adventures in Wonderland,https://www.gutenberg.org/ebooks/11,11,Lewis Carroll
The Great Gatsby,https://www.gutenberg.org/ebooks/64317,64317,F. Scott Fitzgerald
A Doll's House : a play,https://www.gutenberg.org/ebooks/2542,2542,Henrik Ibsen
The Complete Works of William Shakespeare,https://www.gutenberg.org/ebooks/100,100,William Shakespeare
Middlemarch,https://www.gutenberg.org/ebooks/145,145,George Eliot
A Room with a View,https://www.gutenberg.org/ebooks/2641,2641,E. M. Forster
"Little Women; Or, Meg, Jo, Beth, and Amy",https://www.gutenberg.org/ebooks/37106,37106,Louisa May Alcott
The Picture of Dorian Gray,https://www.gutenberg.org/ebooks/174,174,Oscar Wilde
The Importance of Being Earnest: A Trivial Comedy for Serious People,https://www.gutenberg.org/ebooks/844,844,Oscar Wilde
The Blue Castle: a novel,https://www.gutenberg.org/ebooks/67979,67979,L. M. Montgomery
The Enchanted April,https://www.gutenberg.org/ebooks/16389,16389,Elizabeth Von Arnim
The Strange Case of Dr. Jekyll and Mr. Hyde,https://www.gutenberg.org/ebooks/43,43,Robert Louis Stevenson
The Yellow Wallpaper,https://www.gutenberg.org/ebooks/1952,1952,Charlotte Perkins Gilman
Cranford,https://www.gutenberg.org/ebooks/394,394,Elizabeth Cleghorn Gaskell
The Adventures of Ferdinand Count Fathom — Complete,https://www.gutenberg.org/ebooks/6761,6761,T. Smollett
The Expedition of Humphry Clinker,https://www.gutenberg.org/ebooks/2160,2160,T. Smollett
"History of Tom Jones, a Foundling",https://www.gutenberg.org/ebooks/6593,6593,Henry Fielding
The Adventures of Roderick Random,https://www.gutenberg.org/ebooks/4085,4085,T. Smollett
Dracula,https://www.gutenberg.org/ebooks/345,345,Bram Stoker
Twenty years after,https://www.gutenberg.org/ebooks/1259,1259,Alexandre Dumas and Auguste Maquet
Crime and Punishment,https://www.gutenberg.org/ebooks/2554,2554,Fyodor Dostoyevsky
Metamorphosis,https://www.gutenberg.org/ebooks/5200,5200,Franz Kafka
Adventures of Huckleberry Finn,https://www.gutenberg.org/ebooks/76,76,Mark Twain
A Tale of Two Cities,https://www.gutenberg.org/ebooks/98,98,Charles Dickens
The Scarlet Letter,https://www.gutenberg.org/ebooks/25344,25344,Nathaniel Hawthorne
Jane Eyre: An Autobiography,https://www.gutenberg.org/ebooks/1260,1260,Charlotte Brontë
Great Expectations,https://www.gutenberg.org/ebooks/1400,1400,Charles Dickens
