rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,isbns,buy_links,book_uri
1,1,5,0,0,0698185390,9780698185395,Riverhead,A psychological thriller set in London is full of complications and betrayals.,0.00,THE GIRL ON THE TRAIN,Paula Hawkins,by Paula Hawkins,,https://storage.googleapis.com/du-prd/books/images/9781594633669.jpg,312,495,http://www.amazon.com/The-Girl-Train-A-Novel-ebook/dp/B00L9B7IKE?tag=thenewyorktim-20,,https://www.nytimes.com/2015/01/05/books/the-girl-on-the-train-by-paula-hawkins.html,,https://www.nytimes.com/2015/02/01/books/review/the-girl-on-the-train-by-paula-hawkins.html,,"[{'isbn10': '1594633665', 'isbn13': '9781594633669'}, {'isbn10': '0698185390', 'isbn13': '9780698185395'}, {'isbn10': '1410477762', 'isbn13': '9781410477767'}, {'isbn10': '0857522329', 'isbn13': '9780857522320'}, {'isbn10': '1448171687', 'isbn13': '9781448171682'}, {'isbn10': '1594634122', 'isbn13': '9781594634123'}, {'isbn10': '038568231X', 'isbn13': '9780385682312'}, {'isbn10': '1594634025', 'isbn13': '9781594634024'}, {'isbn10': '0735212155', 'isbn13': '9780735212152'}, {'isbn10': '0735212163', 'isbn13': '9780735212169'}, {'isbn10': '1432834355', 'isbn13': '9781432834357'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/The-Girl-Train-A-Novel-ebook/dp/B00L9B7IKE?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780698185395?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780698185395'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BGIRL%2BON%2BTHE%2BTRAIN%2FPaula%2BHawkins%2F9780698185395'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780698185395'}]",nyt://book/ca4dad05-4579-582e-8c02-9e27b03e73c0
2,2,77,0,0,None,9781612130293,Vintage,An innocent college student falls in love with a tortured man with particular sexual tastes; the first of a trilogy.,0.00,FIFTY SHADES OF GREY,E L James,by E. L. James,,https://storage.googleapis.com/du-prd/books/images/9780345803481.jpg,125,193,http://www.amazon.com/Fifty-Shades-Grey-Book-Trilogy/dp/0345803485?tag=thenewyorktim-20,,,,,,"[{'isbn10': '1612130283', 'isbn13': '9781612130286'}, {'isbn10': '0345803485', 'isbn13': '9780345803481'}, {'isbn10': '0099579936', 'isbn13': '9780099579939'}, {'isbn10': '0385363125', 'isbn13': '9780385363129'}, {'isbn10': '0385537670', 'isbn13': '9780385537674'}, {'isbn10': '0345806751', 'isbn13': '9780345806758'}, {'isbn10': '0804172072', 'isbn13': '9780804172073'}, {'isbn10': '0345805151', 'isbn13': '9780345805157'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Fifty-Shades-Grey-Book-Trilogy/dp/0345803485?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781612130293?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781612130293'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FFIFTY%2BSHADES%2BOF%2BGREY%2FE%2BL%2BJames%2F9781612130293'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781612130293'}]",nyt://book/99a53aca-04ef-508c-ac84-64191c4cf3af
3,0,1,0,0,0698161440,9780698161443,Putnam,"A murderer is obsessed with Lt. Eve Dallas; by Nora Roberts, writing pseudonymously.",0.00,OBSESSION IN DEATH,J D Robb,by J. D. Robb,,https://storage.googleapis.com/du-prd/books/images/9780698161443.jpg,128,193,http://www.amazon.com/Obsession-Death-J-D-Robb-ebook/dp/B00L9AXVPQ?tag=thenewyorktim-20,,,,,,"[{'isbn10': '0399170871', 'isbn13': '9780399170874'}, {'isbn10': '0698161440', 'isbn13': '9780698161443'}, {'isbn10': '141047514X', 'isbn13': '9781410475145'}, {'isbn10': '0425278891', 'isbn13': '9780425278895'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Obsession-Death-J-D-Robb-ebook/dp/B00L9AXVPQ?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780698161443?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780698161443'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FOBSESSION%2BIN%2BDEATH%2FJ%2BD%2BRobb%2F9780698161443'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780698161443'}]",nyt://book/86380986-003a-5bd6-a638-9b210b0c9a84
4,0,1,0,0,None,9780345541383,Ballantine,"The Los Angeles psychologist-detective Alex Delaware and Milo Sturgis, a homicide cop, realize that the murder they’re investigating was committed by a serial killer.",0.00,MOTIVE,Jonathan Kellerman,by Jonathan Kellerman,,https://storage.googleapis.com/du-prd/books/images/9780345541383.jpg,128,194,http://www.amazon.com/Motive-An-Alex-Delaware-Novel/dp/0345541375?tag=thenewyorktim-20,,,,,,"[{'isbn10': '0345541375', 'isbn13': '9780345541376'}, {'isbn10': '0804194572', 'isbn13': '9780804194570'}, {'isbn10': '0345541391', 'isbn13': '9780345541390'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Motive-An-Alex-Delaware-Novel/dp/0345541375?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780345541383?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780345541383'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FMOTIVE%2FJonathan%2BKellerman%2F9780345541383'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780345541383'}]",nyt://book/349b96e7-f872-5922-9b57-1caafa698665
5,8,58,0,0,1612130593,9781612130590,Vintage,"Daunted by Christian’s dark secrets, Anastasia ends their relationship — but desire still dominates her every thought; the second book in a trilogy.",0.00,FIFTY SHADES DARKER,E L James,by E. L. James,,https://storage.googleapis.com/du-prd/books/images/9780345803498.jpg,328,495,http://www.amazon.com/Fifty-Shades-Darker-E-James/dp/0345803493?tag=thenewyorktim-20,,,,,,"[{'isbn10': '1612130593', 'isbn13': '9781612130590'}, {'isbn10': '1612130585', 'isbn13': '9781612130583'}, {'isbn10': '0345803493', 'isbn13': '9780345803498'}, {'isbn10': '1448149460', 'isbn13': '9781448149469'}, {'isbn10': '0385363133', 'isbn13': '9780385363136'}, {'isbn10': '0099579928', 'isbn13': '9780099579922'}, {'isbn10': '0385537689', 'isbn13': '9780385537681'}, {'isbn10': '0606264485', 'isbn13': '9780606264488'}, {'isbn10': '0525431888', 'isbn13': '9780525431886'}, {'isbn10': '0525434860', 'isbn13': '9780525434863'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Fifty-Shades-Darker-E-James/dp/0345803493?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781612130590?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781612130590'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FFIFTY%2BSHADES%2BDARKER%2FE%2BL%2BJames%2F9781612130590'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781612130590'}]",nyt://book/eac176ba-0954-557d-b29e-f3b1bd99c11a
6,0,1,0,0,1101874287,9781101874288,Knopf,Four generations of a family are drawn to a house in the Baltimore suburbs.,0.00,A SPOOL OF BLUE THREAD,Anne Tyler,by Anne Tyler,,https://storage.googleapis.com/du-prd/books/images/9781101874288.jpg,128,191,http://www.amazon.com/Spool-Blue-Thread-novel-ebook/dp/B00MSS0WVY?tag=thenewyorktim-20,,https://www.nytimes.com/2015/02/06/books/anne-tylers-20th-novel-a-spool-of-blue-thread.html,,https://www.nytimes.com/2015/02/15/books/review/a-spool-of-blue-thread-by-anne-tyler.html,,"[{'isbn10': '1101874279', 'isbn13': '9781101874271'}, {'isbn10': '0804194726', 'isbn13': '9780804194723'}, {'isbn10': '1101874287', 'isbn13': '9781101874288'}, {'isbn10': '0553394398', 'isbn13': '9780553394399'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Spool-Blue-Thread-novel-ebook/dp/B00MSS0WVY?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781101874288?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781101874288'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FA%2BSPOOL%2BOF%2BBLUE%2BTHREAD%2FAnne%2BTyler%2F9781101874288'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781101874288'}]",nyt://book/3bf7134f-1c8f-51bf-aa76-dd4d8ec37dbf
7,5,22,0,0,,9781476746609,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.,0.00,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,by Anthony Doerr,,https://storage.googleapis.com/du-prd/books/images/9781476746586.jpg,128,192,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=thenewyorktim-20,,,,https://www.nytimes.com/2014/05/11/books/review/all-the-light-we-cannot-see-by-anthony-doerr.html,,"[{'isbn10': '1476746583', 'isbn13': '9781476746586'}, {'isbn10': '1410470229', 'isbn13': '9781410470225'}, {'isbn10': '1476746591', 'isbn13': '9781476746593'}, {'isbn10': '1501122835', 'isbn13': '9781501122835'}, {'isbn10': '0007548699', 'isbn13': '9780007548699'}, {'isbn10': '1501173219', 'isbn13': '9781501173219'}, {'isbn10': '1668017342', 'isbn13': '9781668017340'}, {'isbn10': '144236937X', 'isbn13': '9781442369375'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781476746609?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781476746609'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FALL%2BTHE%2BLIGHT%2BWE%2BCANNOT%2BSEE%2FAnthony%2BDoerr%2F9781476746609'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781476746609'}]",nyt://book/5024ab71-60ed-522a-a87f-0ea336586f6f
8,11,55,0,0,1612130615,9781612130613,Vintage,"Reunited, Anastasia and Christian face a world of possibilities, and unexpected challenges; the final volume in a trilogy.",0.00,FIFTY SHADES FREED,E L James,by E. L. James,,https://storage.googleapis.com/du-prd/books/images/9781612130606.jpg,330,495,http://www.amazon.com/Fifty-Shades-Freed-Three-Trilogy/dp/0345803507?tag=thenewyorktim-20,,,,,,"[{'isbn10': '1612130615', 'isbn13': '9781612130613'}, {'isbn10': '1612130607', 'isbn13': '9781612130606'}, {'isbn10': '0345803507', 'isbn13': '9780345803504'}, {'isbn10': '0385537697', 'isbn13': '9780385537698'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Fifty-Shades-Freed-Three-Trilogy/dp/0345803507?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781612130613?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781612130613'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FFIFTY%2BSHADES%2BFREED%2FE%2BL%2BJames%2F9781612130613'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9781612130613'}]",nyt://book/52994303-8419-5f00-bc37-4c6238e7d03b
9,9,18,0,0,0345803574,9780345803573,Vintage,The three “Fifty Shades” novels in one bundle.,0.00,FIFTY SHADES TRILOGY,E L James,by E. L. James,,https://storage.googleapis.com/du-prd/books/images/9780345803573.jpg,128,197,http://www.amazon.com/Fifty-Shades-Trilogy-Bundle-Vintage-ebook/dp/B007SGM084?tag=thenewyorktim-20,,,,,,"[{'isbn10': '0345803574', 'isbn13': '9780345803573'}, {'isbn10': '1448150620', 'isbn13': '9781448150625'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Fifty-Shades-Trilogy-Bundle-Vintage-ebook/dp/B007SGM084?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780345803573?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780345803573'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FFIFTY%2BSHADES%2BTRILOGY%2FE%2BL%2BJames%2F9780345803573'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780345803573'}]",nyt://book/dd89aefc-ae79-5850-ac96-f940ba2cc4fb
10,7,116,0,0,0307588386,9780307588388,Crown,A woman disappears on the day of her fifth anniversary; is her husband a killer?,0.00,GONE GIRL,Gillian Flynn,by Gillian Flynn,,https://storage.googleapis.com/du-prd/books/images/9780307588388.jpg,136,200,http://www.amazon.com/Gone-Girl-Novel-Gillian-Flynn-ebook/dp/B006LSZECO?tag=thenewyorktim-20,,https://www.nytimes.com/2012/05/30/books/gone-girl-by-gillian-flynn.html,,https://www.nytimes.com/2012/06/17/books/review/gillian-flynns-gone-girl-and-more.html,,"[{'isbn10': '030758836X', 'isbn13': '9780307588364'}, {'isbn10': '0307588386', 'isbn13': '9780307588388'}, {'isbn10': '1410450953', 'isbn13': '9781410450951'}, {'isbn10': '0297859382', 'isbn13': '9780297859383'}, {'isbn10': '0307588378', 'isbn13': '9780307588371'}, {'isbn10': '0297859390', 'isbn13': '9780297859390'}, {'isbn10': '159413605X', 'isbn13': '9781594136054'}, {'isbn10': '055341836X', 'isbn13': '9780553418361'}, {'isbn10': '0553418351', 'isbn13': '9780553418354'}, {'isbn10': '0606270175', 'isbn13': '9780606270175'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Gone-Girl-Novel-Gillian-Flynn-ebook/dp/B006LSZECO?tag=thenewyorktim-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780307588388?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780307588388'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FGONE%2BGIRL%2FGillian%2BFlynn%2F9780307588388'}, {'name': 'Bookshop.org', 'url': 'https://bookshop.org/a/3546/9780307588388'}]",nyt://book/d76ecc9a-b7ad-5cf0-9ef5-cde9a3eba381
